KeggID	K1_Kegg Definition	K1_Pathway	K1_Subgroup	K1_Group
K12762	K12762, GPR1; G protein-coupled receptor GPR1	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K01768	E4.6.1.1; adenylate cyclase [EC:4.6.1.1]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K04345	PKA; protein kinase A [EC:2.7.11.11]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K09468	MSN2_4; zinc finger protein MSN2/4	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12763	SOK2; protein SOK2	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12764	IME1; meiosis-inducing protein 1	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12765	IME2; meiosis induction protein kinase IME2/SME1 [EC:2.7.11.1]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K03085	SIC1; substrate and inhibitor of the cyclin-dependent protein kinase CDC28	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K06651	CLB5_6; S-phase entry cyclin 5/6	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02213	CDC6; cell division control protein 6	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12414	TAH11; DNA replication licensing factor, required for pre-replication complex assembly	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02603	ORC1; origin recognition complex subunit 1	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02604	ORC2; origin recognition complex subunit 2	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02605	ORC3; origin recognition complex subunit 3	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02606	ORC4; origin recognition complex subunit 4	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02607	ORC5; origin recognition complex subunit 5	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02608	ORC6; origin recognition complex subunit 6	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02540	MCM2; DNA replication licensing factor MCM2 [EC:3.6.4.12]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02541	MCM3; DNA replication licensing factor MCM3 [EC:3.6.4.12]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02212	MCM4, CDC54; DNA replication licensing factor MCM4 [EC:3.6.4.12]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02209	MCM5, CDC46; DNA replication licensing factor MCM5 [EC:3.6.4.12]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02542	MCM6; DNA replication licensing factor MCM6 [EC:3.6.4.12]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02210	MCM7, CDC47; DNA replication licensing factor MCM7 [EC:3.6.4.12]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K06628	CDC45; cell division control protein 45	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02214	CDC7; cell division control protein 7 [EC:2.7.11.1]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02309	DBF4; regulatory subunit for Cdc7p protein kinase	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12766	MDS1, RIM11; serine/threonine-protein kinase MDS1/RIM11 [EC:2.7.11.1]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12767	RIM15; serine/threonine-protein kinase RIM15 [EC:2.7.11.1]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K09243	UME6; transcriptional regulatory protein UME6	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K10878	SPO11; meiotic recombination protein SPO11	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K10872	DMC1; meiotic recombination protein DMC1	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12768	ZIP1; synaptonemal complex protein ZIP1	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12769	NDT80; meiosis-specific transcription factor NDT80	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12770	GIP1; GLC7-interacting protein 1	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12771	SPS1; sporulation-specific protein 1 [EC:2.7.11.1]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12772	SPS4; sporulation-specific protein 4	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12773	SPR3; sporulation-regulated protein 3	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K06659	CLB3_4; G2/mitotic-specific cyclin 3/4	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K06660	CDC5; cell cycle serine/threonine-protein kinase CDC5/MSD2 [EC:2.7.11.21]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12576	SPO12; sporulation-specific protein 12	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12575	SLK19; kinetochore protein SLK19	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K06639	CDC14; cell division cycle 14 [EC:3.1.3.16 3.1.3.48]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12774	MAM1; monopolin complex subunit MAM1	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12775	LRS4; monopolin complex subunit LRS4	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K06269	PPP1C; serine/threonine-protein phosphatase PP1 catalytic subunit [EC:3.1.3.16]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12776	MEK1; meiosis-specific serine/threonine-protein kinase MEK1 [EC:2.7.11.1]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12777	RED1; protein RED1	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12778	HOP1; meiosis-specific protein HOP1	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12779	SUM1; suppressor of MAR1-1 protein	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K03114	SWE1; mitosis inhibitor protein kinase SWE1 [EC:2.7.11.1]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02544	MEC3; G2-specific checkpoint protein	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K06663	DDC1; DNA damage checkpoint protein	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02830	HRAD1, RAD17; cell cycle checkpoint protein [EC:3.1.11.2]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K06662	HRAD17, RAD24; cell cycle checkpoint protein	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02543	MEC1; cell cycle checkpoint protein MEC1	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K06661	RAD9; DNA repair protein RAD9	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02831	RAD53; ser/thr/tyr protein kinase RAD53 [EC:2.7.11.-]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02216	CHK1; serine/threonine-protein kinase Chk1 [EC:2.7.11.1]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02627	PDS1; cell cycle regulator	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02365	ESP1; separase [EC:3.4.22.49]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K06636	SMC1; structural maintenance of chromosome 1	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K06669	SMC3, CSPG6; structural maintenance of chromosome 3 (chondroitin sulfate proteoglycan 6)	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12780	REC8; meiotic recombination protein REC8, fungi type	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K06671	STAG1_2, SCC3, IRR1; cohesin complex subunit SA-1/2	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02537	MAD2; mitotic spindle assembly checkpoint protein MAD2	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K06679	MAD1; mitotic spindle assembly checkpoint protein MAD1	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K03348	APC1; anaphase-promoting complex subunit 1	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K03349	APC2; anaphase-promoting complex subunit 2	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K03350	APC3, CDC27; anaphase-promoting complex subunit 3	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K03351	APC4; anaphase-promoting complex subunit 4	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K03352	APC5; anaphase-promoting complex subunit 5	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K03353	APC6, CDC16; anaphase-promoting complex subunit 6	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K03354	APC7; anaphase-promoting complex subunit 7	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K03355	APC8, CDC23; anaphase-promoting complex subunit 8	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K03356	APC9; anaphase-promoting complex subunit 9	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K03357	APC10, DOC1; anaphase-promoting complex subunit 10	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K03358	APC11; anaphase-promoting complex subunit 11	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K03359	APC12, CDC26; anaphase-promoting complex subunit 12	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12416	SWM1, APC13; anaphase-promoting complex subunit SWM1	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K03363	CDC20; cell division cycle 20, cofactor of APC complex	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K02178	BUB1; checkpoint serine/threonine-protein kinase [EC:2.7.11.1]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K11582	SGO1; shugoshin	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K11584	PPP2R5; serine/threonine-protein phosphatase 2A regulatory subunit B'	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K04382	PPP2C; serine/threonine-protein phosphatase 2A catalytic subunit [EC:3.1.3.16]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K03456	PPP2R1; serine/threonine-protein phosphatase 2A regulatory subunit A	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12781	MND2; anaphase-promoting complex subunit MND2	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12782	AMA1; meiosis-specific APC/C activator protein AMA1	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K12783	SSP1; sporulation-specific protein 1	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K06683	CDC15; cell division control protein CDC15 [EC:2.7.11.1]	04113 Meiosis - yeast [PATH:ko04113]	Cell growth and death	Cellular Processes
K04526	INS; insulin	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K05459	IGF1; insulin-like growth factor 1	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K05087	IGF1R; insulin-like growth factor 1 receptor [EC:2.7.10.1]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K08556	NR3C3, PGR; progesterone receptor	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K08557	NR3C4, AR; androgen receptor	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K08041	ADCY1; adenylate cyclase 1 [EC:4.6.1.1]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K08042	ADCY2; adenylate cyclase 2 [EC:4.6.1.1]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K08043	ADCY3; adenylate cyclase 3 [EC:4.6.1.1]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K08044	ADCY4; adenylate cyclase 4 [EC:4.6.1.1]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K08045	ADCY5; adenylate cyclase 5 [EC:4.6.1.1]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K08046	ADCY6; adenylate cyclase 6 [EC:4.6.1.1]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K08047	ADCY7; adenylate cyclase 7 [EC:4.6.1.1]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K08048	ADCY8; adenylate cyclase 8 [EC:4.6.1.1]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K08049	ADCY9; adenylate cyclase 9 [EC:4.6.1.1]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K04345	PKA; protein kinase A [EC:2.7.11.11]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K11481	AURKA; aurora kinase A [EC:2.7.11.1]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K02602	ORB; oo18 RNA-binding protein	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K04367	MOS; proto-oncogene serine/threonine-protein kinase mos [EC:2.7.11.1]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K04368	MAP2K1, MEK1; mitogen-activated protein kinase kinase 1 [EC:2.7.12.2]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K04371	MAPK1_3; mitogen-activated protein kinase 1/3 [EC:2.7.11.24]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K04373	RPS6KA, RSK2; p90 ribosomal S6 kinase [EC:2.7.11.1]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K06633	PKMYT; membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase [EC:2.7.11.1]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K16197	YWHAB_Q_Z; 14-3-3 protein beta/theta/zeta	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K06630	YWHAE; 14-3-3 protein epsilon	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K16198	YWHAG_H; 14-3-3 protein gamma/eta	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K08694	SPDY, RINGO; speedy	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K02087	CDK1, CDC2; cyclin-dependent kinase 1 [EC:2.7.11.22 2.7.11.23]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K02206	CDK2; cyclin-dependent kinase 2 [EC:2.7.11.22]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K06269	PPP1C; serine/threonine-protein phosphatase PP1 catalytic subunit [EC:3.1.3.16]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K08836	SLK; STE20-like kinase [EC:2.7.11.1]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K06631	PLK1; polo-like kinase 1 [EC:2.7.11.21]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K05867	CDC25C; M-phase inducer phosphatase 3 [EC:3.1.3.48]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K13056	C3H-4; CCCH zinc finger protein C3H-4	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K03868	RBX1, ROC1; RING-box protein 1	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K03347	CUL1, CDC53; cullin 1	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K03094	SKP1, CBF3D; S-phase kinase-associated protein 1	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K03362	FBXW1_11, BTRC, beta-TRCP; F-box and WD-40 domain protein 1/11	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K10292	FBXO5, EMI1; F-box protein 5	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K03348	APC1; anaphase-promoting complex subunit 1	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K03349	APC2; anaphase-promoting complex subunit 2	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K03350	APC3, CDC27; anaphase-promoting complex subunit 3	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K03351	APC4; anaphase-promoting complex subunit 4	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K03352	APC5; anaphase-promoting complex subunit 5	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K03353	APC6, CDC16; anaphase-promoting complex subunit 6	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K03354	APC7; anaphase-promoting complex subunit 7	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K03355	APC8, CDC23; anaphase-promoting complex subunit 8	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K03356	APC9; anaphase-promoting complex subunit 9	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K03357	APC10, DOC1; anaphase-promoting complex subunit 10	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K03358	APC11; anaphase-promoting complex subunit 11	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K03359	APC12, CDC26; anaphase-promoting complex subunit 12	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K12456	APC13; anaphase-promoting complex subunit 13	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K03363	CDC20; cell division cycle 20, cofactor of APC complex	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K10318	FBXO43, EMI2; F-box protein 43	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K06635	PTTG; securin	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K02365	ESP1; separase [EC:3.4.22.49]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K13054	REC8L; meiotic recombination protein REC8, animal type	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K13055	STAG3; cohesin complex subunit SA-3	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K06636	SMC1; structural maintenance of chromosome 1	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K06669	SMC3, CSPG6; structural maintenance of chromosome 3 (chondroitin sulfate proteoglycan 6)	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K02178	BUB1; checkpoint serine/threonine-protein kinase [EC:2.7.11.1]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K02537	MAD2; mitotic spindle assembly checkpoint protein MAD2	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K13728	MAD2L2; mitotic spindle assembly checkpoint protein MAD2B	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K06679	MAD1; mitotic spindle assembly checkpoint protein MAD1	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K06626	CCNE; cyclin E	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K11580	SGOL1; shugoshin-like 1	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K11584	PPP2R5; serine/threonine-protein phosphatase 2A regulatory subunit B'	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K03456	PPP2R1; serine/threonine-protein phosphatase 2A regulatory subunit A	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K04382	PPP2C; serine/threonine-protein phosphatase 2A catalytic subunit [EC:3.1.3.16]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K05861	PLCZ; phosphatidylinositol phospholipase C, zeta [EC:3.1.4.11]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K04958	ITPR1; inositol 1,4,5-triphosphate receptor type 1	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K04959	ITPR2; inositol 1,4,5-triphosphate receptor type 2	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K04960	ITPR3; inositol 1,4,5-triphosphate receptor type 3	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K02183	CALM; calmodulin	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K04348	PPP3C, CNA; serine/threonine-protein phosphatase 2B catalytic subunit [EC:3.1.3.16]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K06268	PPP3R, CNB; serine/threonine-protein phosphatase 2B regulatory subunit	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K04515	CAMK2; calcium/calmodulin-dependent protein kinase (CaM kinase) II [EC:2.7.11.17]	04114 Oocyte meiosis [PATH:ko04114]	Cell growth and death	Cellular Processes
K04389	TNFSF6, FASL; tumor necrosis factor ligand superfamily member 6	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04390	TNFRSF6, FAS; tumor necrosis factor receptor superfamily member 6	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04721	TNFSF10, TRAIL; tumor necrosis factor ligand superfamily member 10	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04722	TNFRSF10, TRAILR; tumor necrosis factor receptor superfamily member 10	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K03156	TNFA; tumor necrosis factor superfamily, member 2	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K03158	TNFRSF1A, TNFR1; tumor necrosis factor receptor superfamily member 1A	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04383	IL1A; interleukin 1 alpha	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04519	IL1B; interleukin 1 beta	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04386	IL1R1; interleukin 1 receptor type I	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04723	IL1RAP; interleukin 1 receptor accessory protein	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K02373	FADD; FAS-associated death domain protein	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K03171	TRADD; tumor necrosis factor receptor type 1-associated DEATH domain protein	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04724	CFLAR, FLIP; CASP8 and FADD-like apoptosis regulator	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04400	CASP10; caspase 10 [EC:3.4.22.63]	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04398	CASP8; caspase 8 [EC:3.4.22.61]	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K02187	CASP3; caspase 3 [EC:3.4.22.56]	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04397	CASP7; caspase 7 [EC:3.4.22.60]	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04396	CASP6; caspase 6 [EC:3.4.22.59]	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K16060	BIRC2_3; baculoviral IAP repeat-containing protein 2/3	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04725	XIAP, BIRC4; E3 ubiquitin-protein ligase XIAP	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K16061	BIRC7_8; baculoviral IAP repeat-containing protein 7/8	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04726	BID; BH3 interacting domain death agonist	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K02161	BCL2; apoptosis regulator BCL-2	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04570	BCL2L1, bcl-xL; BCL2-like 1 (apoptosis regulator Bcl-X)	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K08738	CYC; cytochrome c	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K02084	APAF1; apoptotic protease-activating factor	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04399	CASP9; caspase 9 [EC:3.4.22.62]	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K02310	DFFA, DFF45; DNA fragmentation factor, 45 kD, alpha subunit	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K02311	DFFB, DFF40; DNA fragmentation factor, 40 kD, beta subunit [EC:3.-.-.-]	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04727	PDCD8, AIF; programmed cell death 8 (apoptosis-inducing factor) [EC:1.-.-.-]	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K01173	ENDOG; endonuclease G, mitochondrial	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04728	ATM, TEL1; ataxia telangiectasia mutated family protein [EC:2.7.11.1]	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04451	TP53, P53; tumor protein p53	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K02861	RIPK1, RIP1; receptor-interacting serine/threonine-protein kinase 1 [EC:2.7.11.1]	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K03173	TRAF2; TNF receptor-associated factor 2	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04729	MYD88; myeloid differentiation primary response protein MyD88	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04730	IRAK1; interleukin-1 receptor-associated kinase 1 [EC:2.7.11.1]	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
K04731	IRAK2; interleukin-1 receptor-associated kinase 2 [EC:2.7.11.1]	04210 Apoptosis [PATH:ko04210]	Cell growth and death	Cellular Processes
